bank,home_banking,support,local_presence,mean_score,normalized_home_banking,normalized_support,normalized_local_presence,TIER1 ratio,normalized_TIER1_ratio,ROE,normalized_ROE,cyber risk rating,normalized_cyber_risk_rating,Taeg,normalized_taeg,final_score
banca-sella,48.09,39.57,40.85,42.836666666666666,1.0,1.0,0.542115768463074,18.63,0.6581196581196581,12.374,0.981634218854896,770.0,1.0,4.65,0.8749999999999999,6.06
unicredit,45.31,35.55,52.32,44.39333333333334,0.8834381551362683,0.7945835462442512,1.0,17.97,0.5876068376068375,11.479,0.9387167929414022,750.0,0.6,5.22,0.723404255319149,5.53
intesa-sanpaolo,39.39,38.28,52.09,43.25333333333333,0.6352201257861635,0.9340827797649464,0.9908183632734532,16.0,0.3771367521367522,9.717,0.8542246091876858,751.43,0.628599999999999,5.1,0.7553191489361702,5.18
banca-popolare-di-milano,43.41,32.68,35.61,37.233333333333334,0.8037735849056601,0.6479305058763413,0.3329341317365269,16.0,0.3771367521367522,8.011,0.772417761580512,740.0,0.4,4.67,0.8696808510638298,4.2
ing-direct,47.94,38.29,30.6,38.94333333333333,0.9937106918238992,0.9345937659683188,0.13293413173652702,14.51,0.2179487179487179,12.757,1.0,720.0,0.0,4.54,0.9042553191489361,4.18
credit-agricole,33.02,28.3,40.75,34.02333333333333,0.36813417190775694,0.4241185487991824,0.53812375249501,15.3,0.3023504273504274,7.532,0.749448547041335,751.43,0.628599999999999,4.64,0.8776595744680852,3.89
monte-dei-paschi-di-siena,31.54,23.59,31.03,28.72,0.30607966457023056,0.1834440470107307,0.15009980039920165,15.79,0.3547008547008546,-8.097,0.0,750.0,0.6,4.68,0.8670212765957447,2.46
bnl,24.24,20.0,27.27,23.836666666666662,0.0,0.0,0.0,12.47,0.0,8.762,0.8084300374028964,751.43,0.628599999999999,5.07,0.7632978723404255,2.2
